id,label
4000,1
4001,4
4002,4
4003,4
4004,3
4005,3
4006,3
4007,4
4008,3
4009,2
4010,4
4011,2
4012,1
4013,2
4014,3
4015,3
4016,3
4017,2
4018,1
4019,3
4020,1
4021,2
4022,3
4023,3
4024,2
4025,4
4026,3
4027,4
4028,2
4029,4
4030,2
4031,4
4032,2
4033,2
4034,3
4035,3
4036,2
4037,4
4038,1
4039,3
4040,4
4041,1
4042,2
4043,3
4044,3
4045,3
4046,4
4047,4
4048,2
4049,2
4050,3
4051,2
4052,2
4053,4
4054,3
4055,4
4056,4
4057,4
4058,3
4059,1
4060,3
4061,4
4062,3
4063,1
4064,1
4065,3
4066,3
4067,3
4068,3
4069,3
4070,4
4071,3
4072,2
4073,4
4074,3
4075,3
4076,2
4077,3
4078,3
4079,3
4080,3
4081,4
4082,4
4083,3
4084,2
4085,3
4086,4
4087,4
4088,1
4089,3
4090,2
4091,4
4092,1
4093,3
4094,3
4095,1
4096,3
4097,3
4098,3
4099,4
4100,4
4101,2
4102,4
4103,4
4104,3
4105,4
4106,3
4107,3
4108,3
4109,1
4110,2
4111,4
4112,4
4113,4
4114,3
4115,1
4116,4
4117,1
4118,4
4119,1
4120,3
4121,3
4122,2
4123,3
4124,2
4125,1
4126,4
4127,3
4128,4
4129,4
4130,3
4131,3
4132,3
4133,2
4134,1
4135,1
4136,1
4137,1
4138,2
4139,4
4140,1
4141,1
4142,3
4143,1
4144,2
4145,3
4146,1
4147,3
4148,3
4149,2
4150,4
4151,4
4152,4
4153,1
4154,3
4155,4
4156,4
4157,3
4158,4
4159,2
4160,4
4161,3
4162,2
4163,2
4164,3
4165,2
4166,3
4167,3
4168,4
4169,3
4170,1
4171,3
4172,4
4173,3
4174,3
4175,1
4176,1
4177,3
4178,3
4179,1
4180,3
4181,1
4182,3
4183,2
4184,3
4185,2
4186,3
4187,1
4188,2
4189,3
4190,3
4191,1
4192,2
4193,2
4194,1
4195,4
4196,2
4197,1
4198,3
4199,4
4200,3
4201,4
4202,1
4203,4
4204,3
4205,4
4206,4
4207,2
4208,3
4209,1
4210,3
4211,1
4212,3
4213,4
4214,2
4215,4
4216,3
4217,3
4218,4
4219,4
4220,3
4221,1
4222,1
4223,1
4224,3
4225,1
4226,1
4227,4
4228,3
4229,1
4230,3
4231,4
4232,3
4233,3
4234,3
4235,3
4236,3
4237,3
4238,3
4239,2
4240,1
4241,1
4242,4
4243,4
4244,3
4245,2
4246,4
4247,4
4248,3
4249,3
4250,4
4251,3
4252,4
4253,2
4254,3
4255,3
4256,4
4257,3
4258,1
4259,4
4260,1
4261,4
4262,1
4263,4
4264,4
4265,3
4266,2
4267,4
4268,4
4269,1
4270,4
4271,2
4272,2
4273,4
4274,3
4275,1
4276,1
4277,1
4278,1
4279,3
4280,2
4281,3
4282,3
4283,3
4284,4
4285,3
4286,3
4287,4
4288,1
4289,3
4290,3
4291,3
4292,3
4293,4
4294,2
4295,3
4296,3
4297,3
4298,3
4299,4
4300,4
4301,3
4302,1
4303,1
4304,3
4305,3
4306,2
4307,3
4308,4
4309,2
4310,3
4311,3
4312,2
4313,2
4314,3
4315,2
4316,3
4317,3
4318,1
4319,4
4320,4
4321,2
4322,3
4323,3
4324,4
4325,4
4326,4
4327,2
4328,2
4329,1
4330,4
4331,3
4332,4
4333,3
4334,4
4335,4
4336,1
4337,4
4338,1
4339,1
4340,4
4341,2
4342,2
4343,1
4344,3
4345,1
4346,4
4347,2
4348,3
4349,4
4350,1
4351,3
4352,4
4353,3
4354,1
4355,3
4356,3
4357,1
4358,3
4359,1
4360,3
4361,2
4362,4
4363,4
4364,2
4365,2
4366,3
4367,4
4368,4
4369,3
4370,2
4371,2
4372,4
4373,4
4374,3
4375,3
4376,4
4377,4
4378,2
4379,3
4380,3
4381,3
4382,3
4383,2
4384,4
4385,3
4386,3
4387,4
4388,4
4389,3
4390,1
4391,3
4392,4
4393,3
4394,3
4395,3
4396,4
4397,3
4398,4
4399,1
4400,4
4401,3
4402,3
4403,3
4404,3
4405,4
4406,3
4407,3
4408,1
4409,4
4410,2
4411,4
4412,4
4413,3
4414,2
4415,4
4416,3
4417,3
4418,4
4419,4
4420,1
4421,3
4422,2
4423,3
4424,2
4425,3
4426,3
4427,1
4428,3
4429,1
4430,2
4431,4
4432,1
4433,2
4434,4
4435,3
4436,4
4437,3
4438,1
4439,2
4440,3
4441,3
4442,3
4443,1
4444,1
4445,3
4446,3
4447,4
4448,2
4449,3
4450,2
4451,2
4452,1
4453,4
4454,3
4455,2
4456,3
4457,3
4458,2
4459,2
4460,2
4461,4
4462,3
4463,3
4464,4
4465,1
4466,3
4467,2
4468,1
4469,1
4470,3
4471,4
4472,3
4473,4
4474,4
4475,3
4476,1
4477,4
4478,4
4479,4
4480,2
4481,3
4482,1
4483,4
4484,4
4485,4
4486,3
4487,3
4488,2
4489,4
4490,2
4491,2
4492,3
4493,3
4494,4
4495,1
4496,1
4497,1
4498,3
4499,4
4500,3
4501,1
4502,4
4503,2
4504,2
4505,3
4506,4
4507,4
4508,2
4509,2
4510,1
4511,2
4512,1
4513,4
4514,3
4515,3
4516,2
4517,2
4518,2
4519,1
4520,1
4521,1
4522,4
4523,2
4524,1
4525,3
4526,4
4527,4
4528,2
4529,3
4530,2
4531,1
4532,4
4533,2
4534,4
4535,3
4536,4
4537,4
4538,2
4539,4
4540,3
4541,4
4542,4
4543,4
4544,4
4545,3
4546,4
4547,3
4548,1
4549,4
4550,4
4551,1
4552,3
4553,2
4554,4
4555,3
4556,2
4557,2
4558,4
4559,3
4560,3
4561,3
4562,3
4563,3
4564,4
4565,4
4566,4
4567,3
4568,3
4569,4
4570,1
4571,3
4572,2
4573,4
4574,3
4575,1
4576,3
4577,2
4578,3
4579,4
4580,1
4581,3
4582,1
4583,1
4584,2
4585,3
4586,3
4587,3
4588,2
4589,1
4590,1
4591,3
4592,3
4593,3
4594,1
4595,3
4596,3
4597,4
4598,3
4599,1
4600,3
4601,1
4602,3
4603,4
4604,2
4605,2
4606,4
4607,1
4608,3
4609,1
4610,4
4611,3
4612,3
4613,3
4614,2
4615,1
4616,2
4617,1
4618,3
4619,3
4620,1
4621,1
4622,2
4623,4
4624,1
4625,4
4626,3
4627,2
4628,4
4629,2
4630,3
4631,1
4632,3
4633,3
4634,2
4635,3
4636,3
4637,3
4638,3
4639,4
4640,3
4641,2
4642,3
4643,4
4644,3
4645,2
4646,3
4647,4
4648,3
4649,2
4650,4
4651,3
4652,3
4653,3
4654,2
4655,1
4656,3
4657,3
4658,3
4659,2
4660,4
4661,4
4662,2
4663,4
4664,3
4665,2
4666,2
4667,2
4668,3
4669,3
4670,2
4671,1
4672,3
4673,1
4674,3
4675,3
4676,2
4677,4
4678,2
4679,3
4680,4
4681,1
4682,3
4683,4
4684,2
4685,2
4686,2
4687,3
4688,4
4689,1
4690,4
4691,4
4692,2
4693,4
4694,3
4695,3
4696,2
4697,1
4698,3
4699,4
4700,3
4701,2
4702,3
4703,3
4704,4
4705,3
4706,2
4707,2
4708,1
4709,2
4710,4
4711,3
4712,3
4713,3
4714,2
4715,4
4716,4
4717,1
4718,3
4719,2
4720,4
4721,1
4722,3
4723,1
4724,1
4725,3
4726,2
4727,4
4728,3
4729,3
4730,4
4731,4
4732,3
4733,1
4734,4
4735,3
4736,4
4737,3
4738,1
4739,1
4740,3
4741,3
4742,4
4743,2
4744,3
4745,3
4746,1
4747,1
4748,4
4749,3
4750,2
4751,1
4752,4
4753,1
4754,4
4755,1
4756,1
4757,3
4758,3
4759,4
4760,4
4761,4
4762,3
4763,1
4764,3
4765,4
4766,4
4767,1
4768,1
4769,3
4770,4
4771,4
4772,3
4773,4
4774,3
4775,3
4776,3
4777,2
4778,3
4779,1
4780,3
4781,3
4782,1
4783,3
4784,3
4785,3
4786,4
4787,4
4788,1
4789,1
4790,3
4791,1
4792,1
4793,3
4794,4
4795,2
4796,4
4797,3
4798,3
4799,4
4800,2
4801,3
4802,3
4803,4
4804,3
4805,1
4806,4
4807,4
4808,3
4809,1
4810,3
4811,3
4812,3
4813,3
4814,3
4815,4
4816,3
4817,2
4818,1
4819,3
4820,3
4821,1
4822,1
4823,4
4824,1
4825,4
4826,3
4827,4
4828,3
4829,3
4830,4
4831,3
4832,4
4833,4
4834,3
4835,4
4836,4
4837,4
4838,3
4839,2
4840,3
4841,3
4842,1
4843,2
4844,1
4845,3
4846,3
4847,3
4848,3
4849,1
4850,2
4851,3
4852,1
4853,3
4854,1
4855,3
4856,2
4857,4
4858,4
4859,4
4860,3
4861,4
4862,1
4863,3
4864,3
4865,3
4866,3
4867,1
4868,1
4869,2
4870,2
4871,4
4872,1
4873,3
4874,4
4875,1
4876,2
4877,3
4878,3
4879,4
4880,1
4881,1
4882,3
4883,4
4884,1
4885,4
4886,2
4887,1
4888,1
4889,4
4890,4
4891,2
4892,4
4893,1
4894,2
4895,3
4896,3
4897,3
4898,3
4899,3
4900,2
4901,2
4902,3
4903,4
4904,1
4905,1
4906,3
4907,4
4908,1
4909,3
4910,4
4911,2
4912,3
4913,4
4914,2
4915,3
4916,4
4917,3
4918,3
4919,4
4920,3
4921,1
4922,1
4923,3
4924,4
4925,3
4926,3
4927,3
4928,1
4929,2
4930,1
4931,4
4932,3
4933,4
4934,1
4935,4
4936,3
4937,2
4938,3
4939,4
4940,3
4941,4
4942,4
4943,1
4944,4
4945,3
4946,4
4947,2
4948,4
4949,3
4950,4
4951,2
4952,2
4953,3
4954,2
4955,4
4956,4
4957,3
4958,1
4959,1
4960,4
4961,3
4962,4
4963,1
4964,3
4965,3
4966,4
4967,3
4968,3
4969,3
4970,3
4971,4
4972,3
4973,3
4974,1
4975,3
4976,3
4977,2
4978,3
4979,4
4980,1
4981,3
4982,1
4983,4
4984,1
4985,3
4986,2
4987,3
4988,4
4989,1
4990,1
4991,4
4992,3
4993,3
4994,3
4995,4
4996,4
4997,3
4998,3
4999,4
5000,3
5001,3
5002,2
5003,3
5004,3
5005,3
5006,4
5007,2
5008,4
5009,3
5010,4
5011,3
5012,3
5013,4
5014,3
5015,3
5016,3
5017,3
5018,1
5019,4
5020,1
5021,4
5022,3
5023,3
5024,1
5025,3
5026,3
5027,3
5028,4
5029,1
5030,3
5031,2
5032,2
5033,4
5034,4
5035,3
5036,1
5037,1
5038,3
5039,4
5040,3
5041,3
5042,3
5043,3
5044,3
5045,1
5046,3
5047,2
5048,3
5049,3
5050,3
5051,4
5052,2
5053,3
5054,4
5055,1
5056,1
5057,4
5058,2
5059,3
5060,3
5061,4
5062,4
5063,2
5064,4
5065,3
5066,3
5067,3
5068,2
5069,1
5070,2
5071,1
5072,3
5073,1
5074,3
5075,2
5076,2
5077,3
5078,1
5079,3
5080,4
5081,2
